number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
14,0.6620879183638342,2026-05-12 14:30:27.348427,2026-05-12 14:31:27.441295,0 days 00:01:00.092868,0.7084891152908144,0.02396238093902032,9,656,82,0.00015873590170545877,0.0082969197282028,0.8649174147658507,COMPLETE
15,0.6679881600251776,2026-05-12 14:31:27.441405,2026-05-12 14:32:35.508019,0 days 00:01:08.066614,0.6398839339657483,0.02606013693415627,20,799,76,5.482417813288493e-07,0.004831335685897332,0.8264286517482925,COMPLETE
16,0.6647652190806428,2026-05-12 14:32:35.508128,2026-05-12 14:33:42.106243,0 days 00:01:06.598115,0.6711519336988475,0.024899599443076625,20,763,79,1.1032173338053777e-08,0.0437816792337084,0.9983936281451177,COMPLETE
17,0.6641577789949761,2026-05-12 14:33:42.106352,2026-05-12 14:34:52.097109,0 days 00:01:09.990757,0.786076905515412,0.025976121589887356,17,633,101,3.6656351000135816e-07,0.0005659924221245588,0.8609727402803514,COMPLETE
18,0.6666315865661654,2026-05-12 14:34:52.097229,2026-05-12 14:36:22.928805,0 days 00:01:30.831576,0.7745967051964225,0.013847662239164647,46,787,108,0.0004492285312941727,0.14733577113525065,0.7236495044025074,COMPLETE
19,0.6671983548578003,2026-05-12 14:36:22.928922,2026-05-12 14:37:59.170094,0 days 00:01:36.241172,0.7957588354978627,0.011988327122223153,46,800,113,3.4896035340720636e-07,0.15965339245404114,0.7470039205260032,COMPLETE
20,0.6651621752092978,2026-05-12 14:37:59.170199,2026-05-12 14:39:27.054968,0 days 00:01:27.884769,0.8544781384975457,0.01007570409990836,43,712,115,2.4865097536042113e-07,3.2868802692949646,0.676889139154224,COMPLETE
21,0.6672778780450829,2026-05-12 14:39:27.055072,2026-05-12 14:41:00.543943,0 days 00:01:33.488871,0.776842952250933,0.014599507131947478,49,800,109,1.8034683875964852e-06,0.12774201765660245,0.7369068435671671,COMPLETE
22,0.6666116751500454,2026-05-12 14:41:00.544061,2026-05-12 14:42:26.074352,0 days 00:01:25.530291,0.8029790283567596,0.013410831371175762,58,720,111,9.82307329310754e-07,0.14530169447294017,0.7383182526309824,COMPLETE
23,0.6701174621539654,2026-05-12 14:42:26.074478,2026-05-12 14:43:43.072034,0 days 00:01:16.997556,0.8793177441915772,0.01839416678149521,63,796,90,6.189776343666531e-08,8.038061038966298,0.7715925903240886,COMPLETE
24,0.6699211896447215,2026-05-12 14:43:43.072148,2026-05-12 14:44:45.596779,0 days 00:01:02.524631,0.8638687768356053,0.019649745228555244,67,681,85,5.354770971480925e-08,6.581667980063736,0.9313235884212911,COMPLETE
25,0.6680375479311847,2026-05-12 14:44:45.596900,2026-05-12 14:45:48.232633,0 days 00:01:02.635733,0.9100511466694018,0.020247744972315348,74,664,88,5.7644463926608445e-08,9.879192474391198,0.9123447817975263,COMPLETE
26,0.6698351168172009,2026-05-12 14:45:48.232747,2026-05-12 14:46:43.665868,0 days 00:00:55.433121,0.9040766355211305,0.018960945128712634,68,583,89,4.780411839879131e-08,9.922297746386686,0.9314717555448102,COMPLETE
27,0.6674484765583127,2026-05-12 14:46:43.665980,2026-05-12 14:47:28.028193,0 days 00:00:44.362213,0.8830508376250706,0.01967125946729777,65,586,68,5.570907652570753e-08,7.603216262656177,0.9309547318123035,COMPLETE
28,0.6646671249998422,2026-05-12 14:47:28.028301,2026-05-12 14:48:33.589239,0 days 00:01:05.560938,0.9022217796062045,0.032235943414662994,66,688,89,1.0711892478474035e-08,0.8838756373438609,0.955643250478539,COMPLETE
29,0.6660707482582419,2026-05-12 14:48:33.589362,2026-05-12 14:49:24.000711,0 days 00:00:50.411349,0.9397865089236974,0.02016707327802316,61,473,98,8.884694474571273e-08,0.728392975038067,0.8895164161417118,COMPLETE
