lr,lgbm,xgb,pr_auc
0.7,0.0,0.3,0.6370143468010108
0.7,0.05,0.25,0.6383184136713642
0.7,0.1,0.2,0.6390109528922666
0.7,0.15,0.15,0.6394859446998179
0.7,0.2,0.1,0.6395546068619047
0.7,0.25,0.05,0.6391331176833004
0.7,0.3,0.0,0.6384952313139086
0.75,0.0,0.25,0.6315320446478224
0.75,0.05,0.2,0.6326121222751959
0.75,0.1,0.15,0.6334171804387958
0.75,0.15,0.1,0.6337553324207942
0.75,0.2,0.05,0.6333747646314368
0.75,0.25,0.0,0.6328169939891112
0.8,0.0,0.2,0.6247630792988186
0.8,0.05,0.15,0.6259819336696801
0.8,0.1,0.1,0.626627418564473
0.8,0.15,0.05,0.6264672358687856
0.8,0.2,-0.0,0.6260488882900636
0.85,0.0,0.15,0.6167592335384445
0.85,0.05,0.1,0.6180130953828011
0.85,0.1,0.05,0.6182916827883415
0.85,0.15,0.0,0.6179675345990965
0.9,0.0,0.1,0.6065228676761667
0.9,0.05,0.05,0.6076964123735067
0.9,0.1,-0.0,0.6077527594856443
0.95,0.0,0.05,0.5922261435463789
0.95,0.05,0.0,0.5934564161652526
1.0,0.0,0.0,0.5573261521726091
